index,지역,철새도래지,시도,시군,위험도,risk,"위도,경도",비고
1,서울경기,강서지구,서울특별시,강서구,저위험,,"37.5901984197481, 126.81362533492893",
2,서울경기,중랑천,서울특별시,중랑구,중위험,,"37.6030830331226, 127.072105737988",
3,서울경기,안양천 ,서울특별시,양천구,저위험,,"37.513562487735406, 126.87461172643478",
4,서울경기,탄천,서울특별시,송파구,중위험,,"37.49508293706438, 127.10150560559426",
5,서울경기,원천리천,경기도,수원시,저위험,,"37.26481224039535, 127.04976224622416",
6,서울경기,서호,경기도,수원시,저위험,,"37.280408134249136, 126.98755251443214",
7,서울경기,안성천,경기도 ,안성시,고위험,,"36.99139105195746, 127.20539544460591",
8,서울경기,경안천,경기도,용인시,중위험,,"37.309938272435886, 127.23553552424399",
9,서울경기,상패천,경기도 ,동두천시,중위험,,"37.91927602221171, 127.05389142205611",
10,서울경기,왕송호수,경기도,의왕시,저위험,,"37.30748917786908, 126.94731063485848",
11,서울경기,황구지천,경기도,화성시,중위험,,"37.20796105720859, 127.02548060229643",
12,서울경기,문산천,경기도,파주시,중위험,,"37.854639694880476, 126.75854096959318",
13,서울경기,포천천,경기도,포천시,중위험,,"37.89531095584674, 127.20096778249416",
14,서울경기,진위천,경기도,평택시,중위험,,"37.09793604326866, 127.08393302456683",
15,서울경기,남한강(양평-여주),경기도,앙평군,중위험,,"37.460459499061464, 127.49638603216884",
16,서울경기,청미천,경기도,용인시,고위험,,"37.12186508716677, 127.39487102679448",
17,서울경기,시화호,경기도,안산시,고위험,,"37.30574012802834, 126.67318900588819",
18,서울경기,한강하구(장항습지 포함),경기도,고양시,고위험,,"37.63900600625263, 126.7392737093319",
19,서울경기,남양호,경기도,화성시,중위험,,"37.014705010495824, 126.80548911195082",
20,서울경기,화성호,경기도,화성시,중위험,,"37.11569165016753, 126.68399070425345",
21,서울경기,임진강,경기도,파주시,중위험,,"37.78837469359229, 126.66443256564555",
22,서울경기,팔당호,경기도,남양주시,중위험,,"37.517786765600256, 127.30085067928745",
23,서울경기,공릉천 하류/중류,경기도,고양시,고위험,,"37.71153311751638, 126.84431089180522",
24,충청남도,천수만,충청남도,서산시,고위험,,"36.606686550264854, 126.42022590245743",
25,충청남도,송정저수지,충청남도,천안시,중위험,,"36.776518685002266, 127.37727865534171",
